"","q_num","status_description","way_forward","file"
"1","4.1a","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"2","4.1a","Status description: Measures deriving from the NIWRMS:-Preparation of legal acts and bylaws for water management-Compilation of financial report for revenue collection-Evaluation reports and measures on monitoring the procedure of obtaining permits for users of water resources-National register of water resources permits-Hydrological study on the use of river beds-Preparation of action document for incorporation of EU directives and adaptation of climate change issues-Drafting the Shkumbin River Basin Management Plan-Implementation of preventive and protective measures in environmental areas.-Rehabilitation of buildings damaged by natural causes.-Strengthening cooperation and fulfilling institutional obligations-Drafting a National Disaster Management Plan including:Initial flood risk assessment for each catchment (see below)Water scarcity risk analysis (also related to forest fires) for each catchment; reducing the risk of waterborne diseases; establishment of early warning systems-Drafting and approval of legal and sub-legal acts in fulfilment of the obligations of law no. 111/2012 ""On water resources management"" and in the framework of the approximation of National Legislation with the European one-Establishment, functioning, responsibilities and duties of the special commission for cross-border water management. Organization of working groups and committees meetings to discuss cross-border water responsibilities with riparian countries.","Way forward: ","Albania_651_2020_EN_Final_24.09.2020.docx"
"3","4.1a",NA,"Moyen-élevé (60)","Algeria_651_2020_FR_Final_21.10.2020.docx"
"4","4.1a",NA,NA,"Andorra_651_2020_ES_Final_18.09.2020.docx"
"5","4.1a","Descrição da situação:  A República de Angola olha para as Barragens e outros Aproveitamentos Hidráulicos como grandes activos para a GRH. É nesta perspectiva que um grande investimento foi dedicado para este tipo de infra-estruturas hídricas. No entanto, devido à limitação financeira, grande parte dos recursos do Orçamento Geral do Estado tem sido canalizada para outras esferas da vida nacional. ","Próximas medidas:","Angola_651_2020_PT_Final_31.07.2020.docx"
"6","4.1a","Status description: Budgets have been allocated but challenges remain for sourcing funding to fulfil the budgets. As the main entity for the management of water resources, the Antigua Public Utilities Authority, a statutory body acquires revenue through the provision of services such as Electricity and Water to offset the expenses of the organisation. However, there are major gaps in finances mainly in terms of operational costs thus, the government of Antigua and Barbuda plays a supplementary role in the provision of additional resources. ","Way forward: Sources of funding should be identified to support the allocated budgets.","Antigua and Barbuda_651_2020_EN_Final_31.08.2020.docx"
"7","4.1a",NA,"Data and information sharing arrangements exist, but sharing is limited.","Armenia_651_2020_EN_Final_24.07.2020.docx"
"8","4.1a","Status description:Australia is viewed as a world leader in water management with water reform achievements a direct result of the co-operation between Australian Federal, State and Territory Governments. The Australian Government has been co-investing with state governments to accelerate the construction of major water infrastructure projects such as dams, weirs, pipelines, managed aquifer recharge, and waste water treatment and reuse schemes to provide affordable and secure water supplies to support the growth of regional economies and communities across Australia.Since 2007, the Australian Government has committed more than $15 billion for water reform activities. Of this, $8 billion funds a range of activities aimed at increasing water use efficiency in the Murray-Darling Basin (the Basin). For example, more than 2700 on-farm projects across the Basin are demonstrating real water efficiency gains and helping farmers modernise and improve their on-farm infrastructure. More than 12,000 irrigators are benefitting from improvements to water delivery systems, with the modernisation of more than 2,500 kilometres of delivery network channels. The construction of 14 sustainable irrigation schemes across Tasmania has increased the potential irrigable area to over 200,000 hectares. This commitment is in addition to the $1.5 billion National Water Infrastructure Development Fund (NWIDF) and a $2 billion National Water Infrastructure Loan Facility which are available to state and territory governments to provide funding to support the identification and construction of new water infrastructure.Through the National Water Infrastructure Development Fund (NWIDF) and the National Water Infrastructure Loan Facility (NWILF), the Australian Government has committed $1.53 billion to co-fund the construction of 22 water infrastructure projects with a total construction value of more than $2.74 billion. This is in addition to $132.99 million committed to 52 feasibility studies, including $96.46 million for 23 studies in Northern Australia. These studies will identify opportunities to develop new water infrastructure that will deliver new and affordable water, be economically viable and environmentally sustainable and enhance the productivity and profitability of regional economies.Recently an additional $34.9 million of Australian Government funding has been made available for the Great Artesian Basin (building on the Great Artesian Basin Sustainability Initiative), and $50 million for the On-Farm Emergency Water Infrastructure Rebate Scheme program.","Way forward:Social and economic assessments of the impact of the Murray-Darling Basin Plan 2012 (the Basin Plan) have been (and are being) undertaken, with funding provided for programs to support communities with structural adjustment, such as the Murray-Darling Basin Economic Development Program ($40 million for Rounds 1 and 2). There is also a strong focus on the provision of funding for strengthening water compliance, including drafting of new statutory arrangements at the Commonwealth level. The Australian Government is also working with the state and territory governments to develop a national framework for investing in water infrastructure, supported by scientific research that provides the evidence base to underpin investment decisions.","Australia_651_2020_EN_Final_12.08.2020.docx"
"9","4.1a","Status description: In general, the polluter-pays-principle is applied in Austria. Financial incentives are in place for e.g. flood protection measures and IWRM. Important funding for ecological measures under the RBMP2015 are still outstanding.","Way forward: Ongoing negotiations between the responsible Line-Ministry and the Ministry of finance. ","Austria_651_2020_EN_Final_13.08.2020.docx"
"10","4.1a","Status description: Sufficient budget allocated and funds disbursed for most planned programmes or projects.","Way forward: Water strategy envisages extension of investment to for water resources infrastructure","Azerbaijan_651_2020_EN_Final_22.10.2020.docx"
"11","4.1a","Status description: Because of the nation’s transition to RO water supply, limited funds are disbursed for investment in hard infrastructure. Some money is built into the national annual budget for subsidies to WSC and to the Ministry of Public Works for infrastructure operation and maintenance. Since The Bahamas relies less on its natural freshwater reserves for water supply, ‘soft’ infrastructure and environmental measures to protect the ecological value of these reserves are key areas for future funding.  Environmental planning is a function of the DEPP, which, to date, has mostly received funds to begin operation.","Way forward: Increase investment in ‘soft’ infrastructure and environmental measures. ","Bahamas_651_2020_EN_Final_18.11.2020.docx"
"12","4.1a","Status description: ","Way forward: ","Bahrain_651_2020_EN_Final_22.12.2021.docx"
"13","4.1a",NA,NA,"Bangladesh_651_2020_EN_Final_3.11.2020.docx"
"14","4.1a","Status description: In addition to national funding for Storm water management and enhanced groundwater recharge, funding is also being sought from regional/international financing agencies and generally available for planned projects","Way forward: ","Barbados_651_2020_EN_Final_27.10.2020.docx"
"15","4.1a",NA,NA,"Belarus_651_2020_RU_Final_16.07.2020.docx"
"16","4.1a","Status description: EU WFD requires high level costs of planned projects, but available funds fully utilized","Way forward: budget increase for drought projects","Belgium_651_2020_EN_Final_1.10.2020.docx"
"17","4.1a","Status description: Current allocations are for hydrological  monitoring and not necessarily for water resources management. Private enterprise such as Belize Water Services Limited who have invested in water infrastructure to supply potable water to users in their coverage area.  Rural water supply is done via Government through the Department of Rural Development in establishing Rudimentary Water Systems in over 120 villages.Same as 2 comments above and in addition, there are other Government departments who have some aspects of water resources management in their mandate (e.g. health for recreational and consumptive conduct water quality testing, Belize Water Services Ltd who is potable water supplier in urban and peri-urban areas also conduct water quality testing for their purposes, Department of the Environment conducts water quality for cases of pollution occurrence; however there is no dedicated funds attributed to 1 agency for holistic implementation of water resources management.","Way forward: ","Belize_651_2020_EN_Final_01.07.2020.docx"
"18","4.1a","c. Lutte contre la pollution au niveau national","Note","Benin_651_2020_FR_Final_29.09.2020.docx"
"19","4.1a",NA,NA,"Bhutan_651_2020_EN_Final_05.01.2021.docx"
