"","q_num","status_description","way_forward","file"
"1","3.1a","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"2","3.1a","Status description: There is very limited coverage on monitoring.","Way forward: Through different projects we are aiming on establishing a better and monitoring network.","Albania_651_2020_EN_Final_24.09.2020.docx"
"3","3.1a","État d’avancement : Le suivi des ressources en eau superficielles et souterraines sur les plans quantitatif et qualitatif est l’une des missions de l’Agence Nationale des Ressources Hydrauliques (ANRH) à travers un réseau national de mesure hydro-climatologique, piézométrique et de suivi de la qualité. En matière de mobilisation des ressources superficielles, le suivi de la disponibilité de l’eau emmagasinée au niveau des barrages est assuré par l’Agence Nationale des Barrages et Transferts (ANBT), un bulletin hebdomadaire est établi et transmis aux parties concernées via une plateforme informatique dédiée. L’affectation de la ressource mobilisée au niveau des barrages est assurée par un « comité d’affectation  de la ressource », placé au niveau du ministère des ressources en eau. Un examen approfondi de cette question a fait ressortir que le suivi de la disponibilité de l’eau au niveau national est assuré avec une couverture suffisante.","Perspectives pour l’avenir : Renforcement en de l’Agence  Nationale des Ressources Hydrauliques.","Algeria_651_2020_FR_Final_21.10.2020.docx"
"4","3.1a","Descripción de la situación: Se realizan Balances Hídricos anuales, y estudios sobre el recurso hídrico que se publican en la web. https://www.mediambient.ad/el-recurs https://www.mediambient.ad/la-despesa-hidrica ","Formas de avanzar: ","Andorra_651_2020_ES_Final_18.09.2020.docx"
"5","3.1a","Descrição da situação: Algumas das Medidas e Acções identificadas no Plano Nacional da Águas e nos Planos de Bacias Hidrográficas, encontram-se em implementação, tais como o reforça ao Abastecimento público de água; Construção de Sistemas de Transferência de Caudais. Do ponto de vista da jurisdição Provincial, cada sede de Província possui o seu Plano Director de Abastecimento de Água e Saneamento (PDAS). Os PDAS são replicados a nível dos Municípios e Comunas nas respectivas Províncias.","Próximas medidas: Actualização dos PDAS. ","Angola_651_2020_PT_Final_31.07.2020.docx"
"6","3.1a","Status description: There is a high level of awareness for water availability and provisions are currently being made to mitigate effects of an ongoing drought and other inhibiting factors.","Way forward: It is recommended that a shared database be created to allow shareholders access to required information readily.","Antigua and Barbuda_651_2020_EN_Final_31.08.2020.docx"
"7","3.1a",NA,NA,"Armenia_651_2020_EN_Final_24.07.2020.docx"
"8","3.1a","Status description: The Australian Bureau of Meteorology (BoM) provides a suite of national and regional water assessments, a National Water Account; online portals for accessing timeseries data on river flows, storage levels, water quality, and groundwater levels and chemistry; and interactive portals to explore water resource trends at different temporal and spatial scales. http://www.bom.gov.au/waterBoM also provides the Australian Landscape Water Balance, which an interactive website which provides an Australia-wide simulation of landscape water balance components including soil moisture, runoff, evapotranspiration, deep drainage and precipitation at a daily timestep. http://www.bom.gov.au/water/landscape/#/sm_pct/Actual/Day/-39.00/130.40/4/Point/Separate///2017/7/2The information is available at a daily, monthly and annual time step from 1911 onwards, providing timely information for better water related decision making. http://www.bom.gov.au/water/landscape. By the end of 2021, 10-day forecasts, six-month outlooks and decade projections of landscape water balance components will also be provided. Information can be visualised, investigated and downloaded at the continent, catchment and point scale with daily currency.","Way forward: BoM is currently developing new resources to provide a near-real time view of where water is in rivers, storages and on-farm, and a breakdown of what the water is for i.e. consumptive, managed environmental water, unregulated environmental water, conveyance water. These resources will combine visual satellite data, hydrometric data and modelled water balance data. The resources are being designed to meet the needs of compliance authorities, water users, environmental water managers and the public.","Australia_651_2020_EN_Final_12.08.2020.docx"
"9","3.1a","Status description: Monitoring of water quantity and water quality has a long tradition in Austria.Dense networks of nationwide monitoring stations and programmes for surface waters and groundwaters steared on regional level by the Bundesländer are in place. Data are collected and stored on national level.  https://www.bmlrt.gv.at/wasser/wasserqualitaet/SchutzUeberwachung.html ","Way forward: Work in progress.","Austria_651_2020_EN_Final_13.08.2020.docx"
"10","3.1a","Status description: There is net of water monitoring to assess water availability which is currently being rehabilitated by automatic equipment  ","Way forward: Further improvement and extension of monitoring network will be continued to allow to develop and apply hydrological models   ","Azerbaijan_651_2020_EN_Final_22.10.2020.docx"
