"","q_num","status_description","way_forward","file"
"1","4.2d","Status description: New question added in 2020 reporting round. No data available from country from 2017.","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"2","4.2d","Status descriptionMeasures deriving from the NIWRMS:Ensuring public involvement and informed debate (under water governance)Establish cross-sectoral coordination and planningIWRM elements financing is covered partially from the state budget and partially through donors’ contribution (project implementation). ","Way forward: ","Albania_651_2020_EN_Final_24.09.2020.docx"
"3","4.2d","Moyen-élevé (60)",NA,"Algeria_651_2020_FR_Final_21.10.2020.docx"
"4","4.2d",NA,NA,"Andorra_651_2020_ES_Final_18.09.2020.docx"
"5","4.2d","Descrição da situação: Independentemente de que a GIRH ser considerada uma prioridade, devido à limitação financeira, grande parte dos recursos do Orçamento Geral do Estado tem sido canalizada para outras esferas da vida nacional.","Próximas medidas: Promoção de “lobbies” políticos tendo em vista a canalização de uma Verba Financeira maior, dentro do Orçamento Geral do Estado, para os elementos da GIRH.","Angola_651_2020_PT_Final_31.07.2020.docx"
"6","4.2d","Status description:","Way forward: Budgets should be created and funding for the desired budgets should be sourced.","Antigua and Barbuda_651_2020_EN_Final_31.08.2020.docx"
"7","4.2d","Aquifer level management instruments implemented on a more long-term basis, with highly effective outcomes and excellent geographic and stakeholder coverage. ",NA,"Armenia_651_2020_EN_Final_24.07.2020.docx"
"8","4.2d","Status description: Since 2007–08, the Australian Government has committed almost $13 billion to implement water reforms in the Basin. Of this, more than $8 billion is committed specifically for irrigation infrastructure and efficiency programmes. The Murray–Darling Basin Authority (MDBA) manages the works that are undertaken across the Basin. The MDBA is a corporate Commonwealth entity (CCE) under The Public Governance, Performance and Accountability Act 2013 (PGPA Act) and does not receive direct appropriations. Instead, this funding passes through the Department of Agriculture, Water and Environment to the MDBA. The MDBA has two main sources of funding:Joint programs – where the MDBA receives funding to undertake activities on behalf of the Commonwealth and Basin States (New South Wales, Queensland, Victoria, South Australia and the Australian Capital Territory). A fixed contribution is made by Queensland and Australian Capital Territory Governments. The original parties contribute towards the joint program based on agreed principles which determine the cost shares of the annual budget depending on the consumption and benefit derived by each state. This ensures that the contributions by each Original Party is based on the objective of delivering benefits to the basin as a whole rather than a particular State.Commonwealth only funding – where the MDBA receives funding to implement the Basin Plan.","Way forward: To achieve the Sustainable Diversion Limits required under the Basin Plan, Basin States are responsible for implementing supply and constraints measures. All projects must be ready to enter into operation by 30 June 2024. The Australian Government is providing assistance of:up to $1.3 billion to support the implementation of the package of supply measuresup to $1.775 billion through the Water for the Environment Special Account for implementing constraints and efficiency measures","Australia_651_2020_EN_Final_12.08.2020.docx"
"9","4.2d","Status description: Costs of bilateral Commissions for coordination of water management issues is covered by the Bundesländer.","Way forward: No changes foreseen.","Austria_651_2020_EN_Final_13.08.2020.docx"
"10","4.2d","Status description: Allocations made for at least half of the elements but insufficient for others.","Way forward: By applying of Water strategy can be expected that planned budget allocations for all elements of the IWRM approach fully utilised, budgets reviewed and revised.","Azerbaijan_651_2020_EN_Final_22.10.2020.docx"
"11","4.2d","Status description: Budgets in The Bahamas are more centralized. ","Way forward: N/a","Bahamas_651_2020_EN_Final_18.11.2020.docx"
"12","4.2d","Status description: New question added in 2020 reporting round. No data available from country from 2017.","Way forward:","Bahrain_651_2020_EN_Final_22.12.2021.docx"
"13","4.2d","No budget allocations at sub-national or basin level for investments and recurrent costs of IWRM elements. ",NA,"Bangladesh_651_2020_EN_Final_3.11.2020.docx"
"14","4.2d","Status description: IWRM in Barbados is conducted on a national level there are no sub-national elements","Way forward:","Barbados_651_2020_EN_Final_27.10.2020.docx"
"15","4.2d",NA,NA,"Belarus_651_2020_RU_Final_16.07.2020.docx"
"16","4.2d","Status description: ","Way forward: ","Belgium_651_2020_EN_Final_1.10.2020.docx"
"17","4.2d","0",NA,"Belize_651_2020_EN_Final_01.07.2020.docx"
"18","4.2d",NA,NA,"Benin_651_2020_FR_Final_29.09.2020.docx"
"19","4.2d","Status description: As part of the Five Year Plans (FYP) agencies propose annual budget to construct water infrastructures. Investment made for hydropower dams, irrigations canals, drainage, flood control, river training works. The budget allocation is integrated with other related activities of the agencies.","Way forward: ","Bhutan_651_2020_EN_Final_05.01.2021.docx"
"20","4.2d",NA,NA,"Bolivia_651_2020_ES_Final_24.09.2020.docx"
