"","q_num","status_description","way_forward","file"
"1","3.1e","Status description: Separate institution adopted to take care on disaster management]","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"2","3.1e","Status description: National IWRM Strategy and River Basin Management Plans, containing:- Conclusions of the preliminary flood risk assessment & drought risk assessment;- Flood risk maps and flood risk maps;- Objectives aimed at mitigating potentially harmful consequences;Measures to achieve objectives (prevention, protection, preparation);","Way forward: ","Albania_651_2020_EN_Final_24.09.2020.docx"
"3","3.1e",NA,NA,"Algeria_651_2020_FR_Final_21.10.2020.docx"
"4","3.1e",NA,NA,"Andorra_651_2020_ES_Final_18.09.2020.docx"
"5","3.1e","Descrição da situação: Neste momento a República de Angola está munida do Decreto Legislativo nº 28/03 de 7 de Novembro – Lei de Bases da Protecção Civil,  o Regulamento sobre Avaliação do Impacte Ambiental, o Regulamento Sobre a Gestão de Resíduos. ","Próximas medidas: Reforçar aplicação dos instrumentos de gestão.","Angola_651_2020_PT_Final_31.07.2020.docx"
"6","3.1e","Status description: Drafted drought policy is currently being discussed with the Cabinet for future implementation.","Way forward: Synergies with the National Office of Disaster Services and the Meteorological services should be established to address this concern.","Antigua and Barbuda_651_2020_EN_Final_31.08.2020.docx"
"7","3.1e",NA,NA,"Armenia_651_2020_EN_Final_24.07.2020.docx"
"8","3.1e","Status description: In order to strengthen Australia’s national resilience, on 13 March 2020 the Council of Australian Governments (COAG):  endorsed the National Disaster Risk Reduction Framework to guide national action to address existing disaster risks and minimise new risks;signed the National Partnership Agreement for Disaster Risk Reduction and agreed to invest $261 million over five years for risk reduction initiatives; andasked Emergency Management Ministers to expedite a National Action Plan to implement the Framework, in consultation with other COAG councils and forums. In addition, the Government:has established a Critical Incident Planning capability to:bolster our ability to prepare and effectively respond to critical incidents that have widespread impacts across our communities, and better understand, and build resilience within, critical systems that provide essential services to Australians and first respondershas established the Emergency Response Fund to provide a sustainable way to funding disaster risk reduction effort;is providing funding for the development of national telecommunications capabilities;providing funding for the Household Resilience Program, which provides assistance to eligible home owners in coastal parts of Queensland to make practical improvements to reduce the impacts of cyclones;has published resources to help key decision makers across all sectors to take action to reduce disaster risk;is helping communities recover from disasters by investing in resilience through the joint Commonwealth-State Disaster Recovery Funding Arrangements (DRFA), including:allowing states and territories to use the savings they generate from rebuilding essential public assets under the DRFA towards mitigation projects; and providing flexibility for states and territories to restore damaged assets to a more resilient standard.Water management plans such as the Basin Plan and state water resource plans are implemented so that the impacts of very dry conditions (such as Australia’s millennium drought) are minimised. In some areas, this covers critical human water needs. Extreme dry events trigger special management and operational responses to conserve remaining water supplies and limit the impacts that are otherwise unavoidable. ","Way forward: The Department of Home Affairs is responsible for the ongoing implementation of the above activities through Emergency Management Australia. The Department of Home Affairs is also establishing a new national capability to ensure people have access to the best information and guidance needed to make risk-informed decisions so we can continue to be resilient in the future.","Australia_651_2020_EN_Final_12.08.2020.docx"
"9","3.1e","Status description: National Flood Risk Management Plan has been set in place in 2015 and is reviewed and revised every six years.https://www.bmlrt.gv.at/wasser/wisa/fachinformation/hochwasserrisiko.html","Way forward: A Draft Flood Risk Management Plan 2021 is under preparation.","Austria_651_2020_EN_Final_13.08.2020.docx"
"10","3.1e","Status description: Currently wide place in this sphere is given to structural work to combat flooding, mud flows  etc. ","Way forward: I Adoption of Water Strategy will be significant step towards application of non structural methods  to reduce impacts of water-related disasters","Azerbaijan_651_2020_EN_Final_22.10.2020.docx"
"11","3.1e","Status description: Protocols for managing water-related disasters are outlined in the National Emergency Management Agency (NEMA) National Disasters Plan: Instructions for Emergency Situations. The plan includes instructions for actions to be taken before, during and after floods and storm surges. Because the majority of water demand in The Bahamas is now met by purchasing SWRO, drought/water scarcity is not identified as a disaster threat. ","Way forward: Increase public awareness of the dangers of groundwater over-abstraction, especially in the absence of groundwater legislation.","Bahamas_651_2020_EN_Final_18.11.2020.docx"
"12","3.1e","Status description: ","Way forward: ","Bahrain_651_2020_EN_Final_22.12.2021.docx"
"13","3.1e",NA,"Use of management instruments is limited and only through short-term/ad-hoc projects or similar. ","Bangladesh_651_2020_EN_Final_3.11.2020.docx"
"14","3.1e","Status description: BWA has a Drought Management Plan and an Emergency Response and Contingency Plan that deals with natural disasters such as hurricanes. Department of Emergency Management is a part of the National Emergency Management system. Barbados Meteorological Service monitors and provides information on droughts and CIMH has climate outlook programme on drought predictions (regional)","Way forward: Greater use of Predictive Event Management (Drought). Expansion of weather station network and the development of a National Climate Outlook Forum by 2021","Barbados_651_2020_EN_Final_27.10.2020.docx"
"15","3.1e",NA,NA,"Belarus_651_2020_RU_Final_16.07.2020.docx"
"16","3.1e","Status description: ","Way forward: ","Belgium_651_2020_EN_Final_1.10.2020.docx"
