"","q_num","status_description","way_forward","file"
"1","2.1b","Status description: Supreme council of land and water has been established as coordination body for implementation of IWRM concept into practice.","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"2","2.1b","Status description: in October 2018, by the Prime Minister's Order, nr. 157, were created the IPMGs (Integrated Policies Management Groups) on different sectors, as well as on Integrated Water Management, which has two Thematic groups ""Water Reform"" leaded by the Ministry of Infrastructure and Energy and ""Water Resources"" lead by the WRMA. The last is a permanent group composed by representatives from Ministry of Infrastructure and Energy, Ministry of Agriculture and Rural Development, National Environmental Agency, Water Regulatory Entity, Ministry of Health and Social Welfare, Ministry of Tourism and Environment, Ministry of Finances and Economy, Ministry of Defence, Agency for water supply, waste water, and solid wastes management, National Agency of Protected Areas, Ministry for Europe and Foreign Affairs. ","Way forward: The IPMG and its thematic groups have their calendar of planed activities ad meeting agendas where they discuss and make decisions on the IWRM sector. ","Albania_651_2020_EN_Final_24.09.2020.docx"
"3","2.1b","État d’avancement :Des mécanismes ont été institués par la loi relative à l’eau pour assurer un cadre de concertation à deux niveaux institutionnels :Au niveau national, le Conseil National Consultatif des Ressources en Eau (articles 62 et 63 de la loi et décret exécutif n° 08-96 du 15 mars 2008) est composé de représentants des administrations de l’État, des assemblées locales, des Etablissements publics concernés, des associations professionnelles et/ou d’usagers. Il a notamment compétence pour examiner et formuler tous avis sur les plans de développement des ressources en eau.Au niveau régional, les comités de bassin hydrographique (article 64 de la loi  et décret exécutif n° 10-24 du 12 janvier 2010) sont composés de représentants de l’Administration, des Collectivités territoriales (citoyens élus), des différents usagers potentiels d’eau et qui ont notamment compétence pour examiner et émettre des avis et recommandations sur les plans directeurs d’aménagement, de gestion et de protection des ressources en eau.Depuis 2017, ces mécanismes de concertation ont été activement redynamisés.","Perspectives pour l’avenir : Il est prévu d’élargir la représentativité du Conseil national de l’eau aux différents partenaires, notamment le secteur de la recherche scientifique et l’enseignement supérieur.Une réflexion est engagée pour renforcer la coordination entre les mécanismes de concertation aux niveaux national et régional.","Algeria_651_2020_FR_Final_21.10.2020.docx"
"4","2.1b","Descripción de la situación: Gran parte de la información se publica en la web ","Formas de avanzar: ","Andorra_651_2020_ES_Final_18.09.2020.docx"
"5","2.1b","Descrição da situação: O Decreto Presidencial nº 76/17 de 20 de Abril, criou o Conselho Nacional de Águas (CNA). O CNA que é presidido pelo Vice-Presidente da República de Angola, é um órgão de consulta do Presidente da República, em termos de gestão estratégica dos Recursos Hídricos. O CNA, dentre os vários órgãos técnicos, possui um Comité Técnico de Bacias Hidrográficas (CTBH).","Próximas medidas:  Melhor articulação multissectorial para a Gestão Sustentada dos Recursos Hídricos. ","Angola_651_2020_PT_Final_31.07.2020.docx"
"6","2.1b","Status description: There is high levels of interagency support throughout the government of Antigua and Barbuda. APUA has consulted and been consulted on numerous occasion the Ministry of Agriculture. APUA usually has consultations with the Fisheries Division when dealing with desalination to prevent the disturbance of seabed, grass beds etc., along with the Department of Environment. ","Way forward: IWRM needs to be set up officially.","Antigua and Barbuda_651_2020_EN_Final_31.08.2020.docx"
"7","2.1b","","","Armenia_651_2020_EN_Final_24.07.2020.docx"
"8","2.1b","Status description: Currently there are several working groups and committees where government authorities representing different sectors participate in water resources policy, planning and management. For example, the Murray-Darling Basin Community Committee (established under the Water Act) represents the diverse interests of Basin communities including water users, industry groups and First Nation Representatives. The Murray-Darling Basin Officials Committee (also established under the Water Act) facilitates cooperation and coordination between the federal government, the Basin states and MDBA in funding works, managing the Basin water resources and implementing the Basin Plan. The Murray Darling Basin Ministerial Council (the Council) comprises Water Ministers from each of the Basin states and the Commonwealth, with the Federal Minister chairing the council. The Council has policy and decision-making roles for matters such as state water shares, and the funding and delivery of natural resource management programs, as set out in the Murray–Darling Basin Agreement. MDBA is required to prepare an annual corporate plan for approval by the Ministerial Council in relation to these matters. The Council also has a policy and decision-making role regarding issues relating to critical human needs as provided for in the Water Act.The Australian Government along with the States and Territory Governments meet to discuss national water reform matters and developments through the National Water Reform Committee (NWRC) and its sub committees including the Urban Water Reform Committee (UWRC).Interim NWRC and sub-committee arrangements were established in 2014 to continue cooperative national water reforms across all jurisdictions. Jurisdictional Water Ministers agreed to the formalisation of the NWRC in March 2017. Sub-committees are tasked with delivering priority reform projects e.g. developing a National Groundwater Strategic Framework.Established in 2004, the Great Artesian Basin Coordinating Committee (GABCC) provides advice from community organisations and agencies to Ministers on efficient, effective and sustainable whole-of-resource management, and coordinates activity between stakeholders. The GABCC will disband on the release of the Great Artesian Basin Strategic Management Plan (GAB Plan). The Great Artesian Basin Stakeholder Advisory Committee (GABSAC) will be established in its place.The Lake Eyre Basin Community Advisory and the Lake Eyre Basin Scientific Advisory Panel provide community views and expert science advice to Ministers on matters affecting the health of the basin. The National Performance Roundtable group report on water utilities and the inter-jurisdictional Water Efficiency Standards and Labelling Group.There is also the Independent Expert Scientific Committee that provides advice for coal seam gas and large coal mining projects which required a federal environmental assessment, including assessments of significant impacts on water resources.Geoscience Australia is working with national government departments and authorities (for example DAWE, the Department of Industry, Science, Energy and Resources, the NWGA and BoM) on a range of groundwater-related projects that facilitate coordination between government agencies on water resource understanding, planning and management. Geoscience Australia also provides groundwater-related advice to regulatory authorities that are involved in the planning and management of water resources and participates in a number of the national water resource coordination activities and meetings discussed in this document.Geoscience Australia in collaboration with State/Northern Territory government agencies, research and industry partners is finalising the Exploring for the Future Programme, which is a four-year geoscience data and information collection programme that aims to better understand the groundwater resource potential of Northern Australia. The groundwater programme focuses on addressing groundwater resource knowledge gaps to underpin future opportunities for irrigated agriculture, mineral and energy development and community water supply.","Way forward: The Australian Government appointed an independent panel to assess social and economic conditions in rural and regional communities across the Basin and identify the social and economic impacts of the water reforms on Basin communities and their development potential. The Panel delivered their findings in early 2020 and the Government is currently considering options to respond to the recommendations made in relation to drivers and impacts in other sectors. The GABSAC is being established to enable Basin ministers, responsible for Great Artesian Basin matters to be fully advised of the views of industry, communities and other stakeholders on water matters concerning the Great Artesian Basin. The Committee is to work together with Great Artesian Basin governments to provide advice to support ministers’ decision making on whole-of-Basin matters. Members of the Committee will have skills-based expertise in relevant fields including groundwater science, economic development, environmental matters, water resource policy, social matters and community education and engagement.The Australian Government directed the ACCC to conduct an inquiry into markets for tradeable water rights in the Basin. The ACCC will be asked to recommend options to enhance markets for tradeable water rights, including options to enhance their operations, transparency, regulation, competitiveness and efficiency.","Australia_651_2020_EN_Final_12.08.2020.docx"
"9","2.1b","Status description: The Federal Minister of Agriculture, Regions and Tourism has the leading role in issues concerning water resources and water management. Strong links are in place to the Ministry of Finance, the Ministry of Economic Affairs, the Ministry of Health (e.g. concerning Drinking Water and Bathing Water) and the Ministry of Climate Protection, Environment, Energy, Mobility, Innovation and Technology (e.g. concerning national waterways like the Danube river and concerning hydropower). Intergovernmental coordination and cooperation between Ministries is well established. Legislative actions or issues of general relevance are matter of decision in the Council of Ministers.","Way forward: No changes foreseen.","Austria_651_2020_EN_Final_13.08.2020.docx"
"10","2.1b","Status description: Water Commission significantly advanced cross-sectoral coordination, conducting meetings, and preparation of joint reports ","Way forward: By coordination of Water Commission it is expected that agencies will work together to implement Water Strategy and action plans by Commission","Azerbaijan_651_2020_EN_Final_22.10.2020.docx"
