"","q_num","status_description","way_forward","file"
"1","1.1c","Status description: To improve the livelihoods of the Afghan people of present and future generations by providing access to safe drinking water, household food security, and sources of income while protecting them from the negative effects of droughts and floods, by developing and managing water resources in a sustainable way with user participation, and by contributing to the growth of the national economy by providing effective services for efficient water use in all sectors The Water sector strategy is developed by March 15, 2007. Recently the Afghan Cabinet mentioned MEW to revise and provide a comprehensive water resource sector strategy up to end of this year 2017.","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"2","1.1c","Status description: - The Integrated Water Resources Management Strategy, adopted in February 2018- The two RBMP for Drin-Buna and Seman were adopted from the National Water Council.- Semani RMBP was adopted by the Council of Ministers by DCM nr. 453, on 10.06.2020.- The Strategic Action Plan (SAP) for Drin River Basin is prepared and it was signed by the General Director of the WRMA.","Way forward:- The Drin-Buna RBMP is now in the process to be adopted by the Council of Ministers.- Through the EUSIWM Project we are preparing the RMBPs for Ishem-Erzen and Mati River Basin and also an analysis of the current situation for the Vjosa River Basin.","Albania_651_2020_EN_Final_24.09.2020.docx"
"3","1.1c","État d’avancement : Dans le but d’avoir une meilleure vision de la situation afin de fixer au mieux les objectifs stratégiques en matière de planification et gestion des ressources en eau du pays, des études générales techniques et stratégiques  importantes ont été réalisées. Cela a trait à :L’évaluation de la ressource en eau et en sols du pays ;La carte pluviométrique moyenne annuelle ;La carte de l’évapotranspiration ;La carte des ressources en eau souterraine du Nord de l’Algérie ;L’évaluation et la modélisation des nappes du système aquifère du Sahara Septentrional ;L’élaboration de l’étude générale sur les crues et les inondations ;La modélisation des grands aquifères de l’Algérie ;L’élaboration de la stratégie nationale de lutte contre les inondations ;L’étude d’impact des changements climatiques sur les ressources en eau ;Les plans directeurs régionaux d’aménagement des ressources en eau et le plan national de l’eau ;La carte des écoulements du Nord de l’Algérie ; La carte de qualité des eaux superficielles. Schéma National de l’Aménagement du Territoire :La première ligne directrice du Schéma National d'Aménagement du Territoire (SNAT) vise à prendre en charge la problématique du développement durable et de l’épuisement des ressources, particulièrement de l’eau. La durabilité de la ressource en eau constitue la première partie des programmes d’action territoriale concernant la ligne directrice « vers un territoire durable » figurant dans le SNAT, approuvé par la loi n° 10-02 du 29 juin 2010 portant approbation du SNAT pour une période de 20 ans. Les objectifs de ce programme concernant cette ligne directrice sont : 1) De protéger et valoriser la ressource en eau afin d’en assurer la pérennité, 2) D’aménager le territoire en intégrant des usages de l’eau compatibles avec la préservation et le renouvellement de la ressource, 3) De satisfaire les besoins en eau pour les 20 ans à venir.Stratégie :• Assurer la durabilité de la ressource en eau.• Promouvoir des usages de l’eau plus durables et assurer l’équité de sa répartition entre différents types d’usagers.• Assurer une répartition équitable de l’eau entre les espaces et en faire un facteur de rééquilibrage territorial.• Assurer une économie de l’eau permettant la modération de la demande.Programme d’action : • Une mobilisation accrue de la ressource : une distribution quotidienne de l’eau • Des transferts d’eau inter-territoriaux: une équité territoriale pour les transferts • L’amélioration de la qualité des eaux • Une équité dans les usages de l’eau • Un renouvellement du mode de gestion de l’eau : l’économie de l’eau.Plan national de l’eau et les plans directeurs régionaux d’aménagement des ressources en eau : L’Algérie dispose d’un plan national de l’eau (PNE), en cours d’actualisation, qui est un instrument de planification stratégique à l’horizon 2030, ayant pour objectif la programmation des investissements pour satisfaire la demande en eau et assurer un service de qualité. Pour chaque région hydrographique, l’Algérie dispose d’un plan directeur d'aménagement des ressources en eau qui définit les choix stratégiques de mobilisation, d'affectation et d'utilisation des ressources en eau, y compris les eaux non conventionnelles, en vue d'assurer : la satisfaction des besoins en eau correspondant aux usages domestique, industriel et agricole et autres usages économiques et sociaux ; la protection quantitative et qualitative des eaux souterraines et superficielles ;la prévention et la gestion des risques liés aux phénomènes naturels exceptionnels, tels que    la sécheresse et les inondations. Ces projets s’inscrivent dans des programmes décentralisés mis en œuvre sur l’ensemble du territoire national et qui doivent contribuer eux-mêmes à l’atteinte des objectifs cibles du développement sectoriel. Il s’agit des programmes suivants : le programme national de réhabilitation et d’extension des réseaux d’AEP ;le programme national de réhabilitation et d’extension des réseaux d’assainissement ;le programme national d’épuration des eaux usées duquel découlent les potentialités de réutilisation des eaux traitées prises en compte dans le bilan hydrique ;le programme national de protection contre les inondations ;le programme national de développement de la petite et moyenne hydraulique (PMH). En adéquation avec les objectifs et les principes fixés par la loi n° 05-12 du 4 août 2005 relative à l’eau, la stratégie de développement infrastructurel sous-tendue par le PNE vise à garantir le renforcement continu de l’accès à l’eau dans le respect des priorités d’usage et d’équité territoriale.Schéma National de Développement de l’Assainissement L’Algérie dispose depuis 2015 d’un Schéma national de Développement de l’Assainissement (SNDA)et d’une Stratégie nationale d’assainissement en zone rurale.Le SNDA vise,à l’horizon 2030, à donner accès à l’assainissement à la totalité de la population Algérienne,  par une combinaison de l’assainissement collectif et non collectif, ainsi qu’un traitement de tous les effluents collectés par les réseaux Les principales orientations stratégique du SNDA, pour lesquelles dix objectifs ont été fixés et traduit dans un plan d’action à l’échelle nationale, régionale et locale, sont :de donner accès à l'assainissement à l'ensemble de la population Algérienne ;l’adaptation de la collecte et le traitement des effluents aux milieux récepteurs ;la maîtrise les rejets industriels et leurs impacts ;la valorisation les eaux traitées et les sous-produits de l'épuration et le développement ;l’amélioration des connaissances du patrimoine d’assainissement et des milieux récepteurs.Enfin, s’agissant du score attribué en 2017, il convient de noter que celui-ci ne reflète pas d’une manière objective les efforts consentis par l’Algérie en matière de planification des ressources en eau. Ces plans GIRE ont servi de base pour orienter les programmes d’investissement dans le domaine de l’eau.","Perspectives pour l’avenir : Amélioration des instruments de mise en œuvre de la stratégie sectorielle des ressources en eau à travers la modification de la loi sur l’eau et du système organisationnel.","Algeria_651_2020_FR_Final_21.10.2020.docx"
"4","1.1c","Descripción de la situación: ","Formas de avanzar: ","Andorra_651_2020_ES_Final_18.09.2020.docx"
"5","1.1c","Descrição da situação: De acordo com o ordenamento hidrográfico da República de Angola, esta prevista a elaboração de 22 Planos Gerais de Desenvolvimento e Utilização de Recursos Hídricos de Bacias Hidrográficas. Actualmente estão concluídos cinco (5) planos, nomeadamente os Planos Gerais das Bacias Hidrográficas do Cuanza, Zambeze, Cubango, Cuvelai e Cuando, o que representa uma densidade de cobertura territorial de 22,72%. Em curso estão em elaboração os Planos Gerais das Bacias Hidrográficas do Dande e Bengo.","Próximas medidas: Até 2022 estão previstos a elaboração dos Planos das Bacias Hidrográficas do Queve, Longa e da Região de Benguela, que compreende nove (16) Bacias Hidrográficas ( Cambombe, Quicombo, Dui, Evale, Balombo, Cuhula, Cubal da Hanha, Catumbela, Cavaco, Curinge, Uche, Mormolo, Pima, Ndungo, Calumbolo, Coporolo).","Angola_651_2020_PT_Final_31.07.2020.docx"
"6","1.1c","Status description: APUA is building capacity which allow for IWRM plans to be implemented following the guidance protocols indicated in their Policy Statement. ","Way forward: It is recommended that the heads of APUA, along with the Department of Environment to do intentional follow-ups with the respective Ministers to implement the 2015 Antigua & Barbuda National IWRM Road Map: World Water & Wastewater Solutions. They would need to encourage the heads of the respective government Ministries to refocus their efforts in following through in making the 2015 Antigua & Barbuda National IWRM Road Map: World Water & Wastewater Solutions an official guide to implement IWRM. ","Antigua and Barbuda_651_2020_EN_Final_31.08.2020.docx"
"7","1.1c","Status description: There is no National IWRM Plan for Armenia. However, there is a Program of Measures under the National Water Program that serves as a basis for the implementation of IWRM principals. Some measures included in the National Water Program were successfully implemented, in particular.harmonization of water sector laws and by laws,classification of water sector institutional structure and delineation of responsibilities,development of basin management organizations,upgrade of water permitting and water cadastre systemdevelopment and implementation of water quality normsimprovement of water supply servicesBut there are still some measures that should be updated and implemented. Taking this fact into consideration Ministry of Environment is now working on amendments and updates in a Program of Measures under the National Water Program.Armenian Government has adopted 3 basin management plans for BMOs. 2 basin management plans are being under development process now. The basin management plans include program of measures to improve status of water bodies. These measures include construction of agglomeration, development of legislative and institutional system, etc.","Way forward: Update Program of Measures under the National Water Program, take steps toward development of the last Basin Management plan for Northern BMO","Armenia_651_2020_EN_Final_24.07.2020.docx"
"8","1.1c","Status description: In 2012, the Basin Plan became law, setting out management objectives and outcomes for the Basin, including long-term average sustainable diversion limits on the amount of Basin water extracted for consumptive use, an Environmental Watering Plan, and a Water Quality and Salinity Management Plan. The Basin Plan also outlines the requirements with which Basin state water resource plans must comply in order to be accredited by the Commonwealth, provision for critical human water needs, rules for trading and transferable of water rights and a program for monitoring and evaluating the effectiveness of the Basin Plan. The Water Act and Basin Plan provide mechanisms to review the Basin Plan including periodic review requests by Basin jurisdictions. The Basin Plan is to be reviewed on a regular basis to ensure that current terms and conditions of the Basin Plan are suitable to enable environmental improvements to the Basin’s rivers and wetlands, taking into account the socio-economic impact to the communities that are reliant on the Basin.The Great Artesian Basin Strategic Management Plan 2019 (GAB Plan) which was released in July 2020, outlines how communities, businesses, traditional owners and governments in the Basin can use the resource sustainably. It includes seven principles with values and objectives to help improve water security in the Basin over the next 15 years. The GAB Plan has been prepared by a committee comprising of Australian and relevant state and territory governments and members of the Great Artesian Basin Coordinating Committee (GABCC) representing community and industry stakeholders. ","Way forward: A cornerstone of the strategy for managing water resources in the Basin is adaptive management – ‘learning as you go’ by trialling techniques, monitoring, and making changes as needed.Water managers must be flexible and dynamic to ensure the best possible outcomes are achieved. This is the modern way of managing natural resources. Adaptive management allows governments and communities to adjust their approach in response to current climatic conditions, new information and local knowledge when planning for the future. Regular 10-yearly reviews of the Basin Plan are required, which allow for emerging climate change patterns, new information, tools and techniques to be considered. These reviews could result in changing water limits or other water management arrangements. The first review will be conducted in 2026.The GAB plan is accompanied by a 5-year ‘rolling’ implementation plan, outlining projects and activities that support the GAB plan principles. This plan has been agreed on by Commonwealth and relevant state governments.","Australia_651_2020_EN_Final_12.08.2020.docx"
"9","1.1c","Status description: The first National River Basin Management Plan (RBMP) was set up in 2009 and reviewed in 2015/2016. The first Flood Risk Management Plan (FRMP) was set up in 2015. Both plans are based on the Austrian Water Act 1959 and in line with EU provisions. Each plan is setting milestones, on the way to a full achievement of several objectives according to given deadlines within the Framework Directives and other relevant legislation. Reviews and revisions of national plans are done every six years. For more information on the RBMP see: https://www.bmlrt.gv.at/wasser/wisa/fachinformation/ngp/ngp-2015.htmlFor more information on the FRMP see: https://www.bmlrt.gv.at/wasser/wisa/fachinformation/hochwasserrisiko/RMP-2015.htmlFor reasons of some setbacks in implementation of the RBMP2015 mainly due to suspended national funding of measures (also addressed under 4.1) a score of 80 was chosen.","Way forward: In 2021 updates of the RBMP and the FRMP are foreseen. According to the procedure enshrined in the Austrian Water Act in 2019 significant water management issues were published for public consultation, in the end of 2020 a Draft RBMP and a Draft FRMP should be published for public consultation until the updated RBMP and FRMP will be finalised in the end of 2021. ","Austria_651_2020_EN_Final_13.08.2020.docx"
"10","1.1c","Status description: There is action plan prepared by Water Commission on action needed to be implemented by 2021-2022. ","Way forward: Discussions are ongoing with EU, UNDP and other organizations in relation to above plan, which also contains item on  implementation of National Water Strategy  ","Azerbaijan_651_2020_EN_Final_22.10.2020.docx"
"11","1.1c","Status description: The IWRM Plan was completed in 2007 and is generally being applied. Enforcement of the legal aspects relative to water is fragmented between agencies. No specific groundwater legislation has been enacted to date; there is reliance on the Forestry Act, which enables creation of Forestry Reserves, for the protection of the primary water resource areas.","Way forward: A more detailed national action plan with assigned multi-year funding for implementation is required. This must be accompanied with accountability and transparency.","Bahamas_651_2020_EN_Final_18.11.2020.docx"
"12","1.1c","Status description: ","Way forward: ","Bahrain_651_2020_EN_Final_22.12.2021.docx"
"13","1.1c",NA,NA,"Bangladesh_651_2020_EN_Final_3.11.2020.docx"
"14","1.1c","Status description: Road Map Towards Integrated Water Resources Management and Planning for Barbados developed but still not implemented. To be reviewed and codified into the National Plan of Action. Marine Pollution Act passed has elements of IWRM and monitoring carried out. ","Way forward: ","Barbados_651_2020_EN_Final_27.10.2020.docx"
"15","1.1c",NA,"Основана на КУВР, одобрена правительством и начинает использоваться уполномоченными органами для руководства работой.","Belarus_651_2020_RU_Final_16.07.2020.docx"
"16","1.1c","Status description: restrictions on financial resources for full implementation + some costs are disproportional due to historical pollution, hydromorphological alterations and population density in combination with agriculture and industry.","Way forward: further implementations and looking for supplementary financial resources.","Belgium_651_2020_EN_Final_1.10.2020.docx"
"17","1.1c","Status description: Investigative work into the quantifying and qualifying the nation’s resources needs to be executed prior to development of management plans.  Data from investigations would allow for water resources planning to executed based on scientific data.  No water resources management plans exist.  There is a water rights system where licensing of water users exists, but it is not based on volumes as this information does not exist to execute water rights planning.  However, we require users to report their volumetric usage and water quality testing results.","Way forward: Do a national diagnostic study/preliminary assessment of water resources with all stakeholders. ","Belize_651_2020_EN_Final_01.07.2020.docx"
"18","1.1c",NA,"L’élaboration n’a pas commencé ou a été retardée dans la plupart des bassins ou aquifères d’importance nationale. ","Benin_651_2020_FR_Final_29.09.2020.docx"
"19","1.1c","Status description: National Integrated Water Resources Management Plan (NIWRMP) approved by the government in 2016 and implementation arrangements are under way.","Way forward: ","Bhutan_651_2020_EN_Final_05.01.2021.docx"
