"","q_num","status_description","way_forward","file"
"1","2.1e","Status description: The score corresponds to 2.1f question from the 2017 survey.","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"2","2.1e","Status description: There are always ongoing activities and projects that aim capacity building in IWRM.  The main problem is people leaving the position and the new employees need for capacity building, so it will always be a continuous work.Actually there are two projects of which AMBU is beneficiary that contain components related to human resources development. Regarding the project EUSIWM, funded by EU and implemented by ADA, its third component is conducting a Capacity Development Plan for achieving appropriate capacities; and the establishment of a permanent learning and development platform as well as Short- and Long-term Trainings, Stakeholder Consultation & Involvement Plan. This relates not only to the River Basin management offices of the selected river basins under preparation of RBMPs, but also the main administration and the other offices. On the other hand a recent project signed with the Sweden International Development Agency, ‘Increasing the institutional capacities of the Water Resources Management Agency’ is expected to being initiated shortly and presuming to strengthen capacities of both central and regional administration.","Way forward:   At this moment we are being supported for capacity building, through the EUSIWM Project, at central offices and river basin offices level.","Albania_651_2020_EN_Final_24.09.2020.docx"
"3","2.1e","État d’avancement : En sus du dispositif de formation et d’enseignement, relevant du secteur de l’enseignement supérieur et de la recherche scientifique et celui de la formation et enseignement professionnel qui ont intégré dans leurs programmes et cursus l’ensemble des thématiques liés à la gestion intégrée et durable des ressources en eau, le secteur des ressources en eau dispose d’un appareil interne de formation. Cet appareil constitue un « dispositif de formation intégrée » qui contribue à renforcer continuellement les capacités des cadres et personnels du secteur particulièrement en matière de gestion intégrée des ressources en eau.L’ossature de l’appareil de formation est constituée par l’Ecole supérieure de management des ressources en eau, l’Institut national de perfectionnement de l’équipement et les centres relevant des établissements (Algérienne des eaux, Office national d’assainissement, Agence national des barrages et transferts, Sociétés par actions dans les wilayas d’Alger, Oran et Constantine). A ce titre, il y’a lieu de rappeler que :La création de l’Ecole Supérieure de Management des Ressources Humaines (ESMRE) découle de la nécessité d’un renforcement de la capacité managériale du personnel d’encadrement, tant au niveau des services de l’administration centrale qu’au niveau des établissements intervenant dans la gestion et le suivi du service public de l’eau.L’institut national de perfectionnement en équipement (INPE) est un établissement à caractère administratif sous la tutelle du MRE. Il assure actuellement, pour le compte de l’ensemble des administrations, structures et établissements publics du secteur des ressources en eau, la formation, le perfectionnement et le recyclage des personnels. Ces recyclages et perfectionnement de courte durée (une semaine généralement) visent la mise à niveau des agents de différents grades et leur perfectionnement dans des thèmes techniques et administratifs ayant un lien direct avec leurs fonctions. Ces besoins sont évalués et arrêtés en concertation avec les différents employeurs.L’ADE dispose de quatre (04) Centres de Formations au Métiers de l’Eau CFME à Alger, Tizi-Ouzou, Oran, et à Constantine, le centre d’Alger dispose de plates formes pédagogiques normalisées d’un laboratoire, d’un amphithéâtre, et d’un bloc hébergement. les kits pédagogiques pour l’ensemble des thématiques aux métiers de l’eau sont élaborés par les formateurs du centre.Le Centre de Formation aux Métiers d’Assainissement (CFMA) de l’ONA, dans la wilaya de Boumerdes. Un nouveau centre est en cours de lancement, avec acquisition de plates formes pédagogiques. Le Centre de Formation aux Métiers des Barrages de l’ANBT.","Perspectives pour l’avenir : L’élaboration d’une politique de formation est en cours.","Algeria_651_2020_FR_Final_21.10.2020.docx"
"4","2.1e","Descripción de la situación: Proyecto Escoles Verdes http://www.escolaverda.ad/ Conveni amb l’Observatori de la Sostenibilitat d’Andorra. https://www.bopa.ad/bopa/027071/Pagines/GE20151016_09_24_25.aspx No hay capacitaciones de complimiento obligado para los funcionarios gubernamentales, pero si puede optar a la realización de formaciones en materia de medio ambiente.","Formas de avanzar: Los funcionarios gubernamentales pueden optar a la realización de formaciones en materia de medio ambiente.","Andorra_651_2020_ES_Final_18.09.2020.docx"
"5","2.1e","Descrição da situação:   Existe actualmente uma grande carência Recursos Humanos que garantam um bom funcionamento do Sector das Águas/ Recursos Hídricos.","Próximas medidas: Elaboração do Plano Nacional de Formação de Quadros.","Angola_651_2020_PT_Final_31.07.2020.docx"
"6","2.1e","Status description: The capacity is there as people are willing to do the work.","Way forward: More effort needs to be placed on higher education and training in IWRM related fields. ","Antigua and Barbuda_651_2020_EN_Final_31.08.2020.docx"
"7","2.1e",NA,NA,"Armenia_651_2020_EN_Final_24.07.2020.docx"
"8","2.1e","Status description:Australia has committed to various programmes aiming to provide long term capacity development, including:Indigenous Rangers – Working on CountryMurray-Darling Basin Authority’s Aboriginal Waterways Assessment Programme which provides a tool that consistently measures and prioritises river and wetland health so that Traditional Owners can more effectively participate in water planning and management in the Basin. Traditional owners from several parts of the Basin have participated in this program as applied to their area/part.There are a number of capacity-building initiatives being undertaken to improve outcomes for First Nations in Murray-Darling Basin water management. The MDBA have partnership agreements with the Northern Basin Aboriginal Nations (NBAN) and the Murray Lower Darling Rivers Indigenous Nations (MLDRIN). These are independent, self-determining, Traditional Owner-based organisations with a primary focus on natural resource management. Through consistent support and engagement, these representative bodies have continued to mature and increase their capacity for participation in water management. There are now a number of initiatives focused on building capacity of First Nations, including in relation to two-way knowledge sharing for First Nations’ environmental watering objectives to be incorporated in environmental water planning, and a National Cultural Flows Research Project, which established a national framework for cultural flows (water entitlements for Aboriginal peoples). Additional MDBA capacity-building initiatives include:International engagement with other countries in basin planning and IWRM. The MDBA is a member of the Australian Water Partnership, has a MoU arrangement with the Mekong River Commission, and provides briefings to visiting country delegations (e.g. Pakistan, Nepal) and presents at international conferences to share knowledge of IWRM in Australia. Development and distribution of educational material for primary and secondary school students on a broad range of issues around IWRM, including traditional and modern management mechanisms and environmental systems. There are also significant capacity building activities carried out by sub-national governments, including regionally based authorities with responsibility to engage with local communities on natural resource management activities.","Way forward: Inclusion of MLDRIN and NBAN representatives in environmental water decision making forum to continue building capacity of these organisations to meaningfully participate in water planning and decision-making. The MDBA continues to develop a suite of water management factsheets to improve public understanding of IWRM arrangements in the Basin. Geoscience Australia is committed to further developing national IWRM capacity by developing guidelines and resources to support nationally consistent approaches to understanding Australia’s groundwater systems.","Australia_651_2020_EN_Final_12.08.2020.docx"
"9","2.1e","Status description: Several Technical Universities in Austria, the University of natural resources and life sciences in Vienna as well as colleges for higher education are preparing the ground for high level IWRM capacity in Austria. Furthermore, regular seminars for representatives of the entire water sector, training programmes for public administrators and information events on River Basin Management Plans and Flood Risk Management Plans on national, regional and local levels ensure highly effective outcomes.","Way forward: Work in progress.","Austria_651_2020_EN_Final_13.08.2020.docx"
"10","2.1e","Status description: By support of UNDP Kura project was created educational programs on IWRM and also Water Strategy considers IWRM capacity building actions as well","Way forward:  Adoption of Water Strategy will be significant step towards IWRM capacity building","Azerbaijan_651_2020_EN_Final_22.10.2020.docx"
